director_and_actors,img,link,other_title,quote,rank,rating,reviewers,title
导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,https://movie.douban.com/subject/1292052/, / 月黑高飞(港)  /  刺激1995(台),希望让人自由。,1,9.7,2860431人评价,肖申克的救赎
导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,https://movie.douban.com/subject/1291546/, / 再见，我的妾  /  Farewell My Concubine,风华绝代。,2,9.6,2114999人评价,霸王别姬
导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,https://movie.douban.com/subject/1292720/, / 福雷斯特·冈普,一部美国近现代史。,3,9.5,2135217人评价,阿甘正传
导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2889314814.jpg,https://movie.douban.com/subject/1292722/, / 铁达尼号(港 / 台),失去的才是永恒的。 ,4,9.5,2161445人评价,泰坦尼克号
导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,https://movie.douban.com/subject/1295644/, / 终极追杀令(台)  /  杀手莱昂,怪蜀黍和小萝莉不得不说的故事。,5,9.4,2272295人评价,这个杀手不太冷
导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,https://movie.douban.com/subject/1291561/, / 神隐少女(台)  /  千与千寻的神隐,最好的宫崎骏，最好的久石让。 ,6,9.4,2216333人评价,千与千寻
导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,https://movie.douban.com/subject/1292063/, / 一个快乐的传说(港)  /  Life Is Beautiful,最美的谎言。,7,9.6,1311800人评价,美丽人生
导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,https://movie.douban.com/subject/1295124/, / 舒特拉的名单(港)  /  辛德勒名单,拯救一个人，就是拯救整个世界。,8,9.6,1093151人评价,辛德勒的名单
导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,https://movie.douban.com/subject/1889243/, / 星际启示录(港)  /  星际效应(台),爱是一种力量，让我们超越时空感知它的存在。,9,9.4,1805992人评价,星际穿越
导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,https://movie.douban.com/subject/3541415/, / 潜行凶间(港)  /  全面启动(台),诺兰给了我们一场无法盗取的梦。,10,9.4,2037035人评价,盗梦空间
导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,https://movie.douban.com/subject/1292064/, / 真人Show(港)  /  真人戏,如果再也不能见到你，祝你早安，午安，晚安。,11,9.4,1678414人评价,楚门的世界
导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,https://movie.douban.com/subject/3011091/, / 秋田犬八千(港)  /  忠犬小八(台),永远都不能忘记你所爱的人。,12,9.4,1385743人评价,忠犬八公的故事
导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,https://movie.douban.com/subject/1292001/, / 声光伴我飞(港)  /  一九零零的传奇,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,13,9.3,1659458人评价,海上钢琴师
导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,https://movie.douban.com/subject/3793023/, / 三个傻瓜(台)  /  作死不离3兄弟(港),英俊版憨豆，高情商版谢耳朵。,14,9.2,1839319人评价,三傻大闹宝莱坞
导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,https://movie.douban.com/subject/1291549/, / 歌声伴我心(港)  /  唱诗班男孩,天籁一般的童声，是最接近上帝的存在。 ,15,9.3,1295808人评价,放牛班的春天
导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,https://movie.douban.com/subject/2131459/, / 太空奇兵·威E(港)  /  瓦力(台),小瓦力，大人生。,16,9.3,1301310人评价,机器人总动员
导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,https://movie.douban.com/subject/1307914/, / Infernal Affairs  /  Mou gaan dou,香港电影史上永不过时的杰作。,17,9.3,1345045人评价,无间道
